"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Caratini, Victor",605170,2026,344,233,0.222,0.234,-0.012,0.324,0.377,-0.053,0.289,0.318,-0.029
"Rutschman, Adley",668939,2026,343,250,0.237,0.262,-0.025,0.4,0.419,-0.019,0.316,0.338,-0.022
"Gilbert, Drew",687551,2026,342,240,0.236,0.259,-0.023,0.382,0.394,-0.012,0.314,0.33,-0.016
"Martínez, Angel",682657,2026,341,251,0.245,0.259,-0.014,0.431,0.408,0.023,0.308,0.305,0.003
"Hamilton, David",666152,2026,339,235,0.241,0.222,0.019,0.332,0.311,0.021,0.292,0.275,0.017
"Peraza, Oswald",672724,2026,338,212,0.225,0.223,0.002,0.344,0.335,0.009,0.279,0.274,0.005
"Palacios, Richie",680700,2026,338,235,0.226,0.241,-0.015,0.332,0.327,0.005,0.297,0.302,-0.005
"Wilson, Jacob",805779,2026,337,283,0.266,0.262,0.004,0.388,0.345,0.043,0.301,0.282,0.019
"Cronenworth, Jake",630105,2026,336,221,0.218,0.216,0.002,0.295,0.302,-0.007,0.275,0.275,0
"Martin, Austin",668885,2026,335,225,0.241,0.24,0.001,0.333,0.326,0.007,0.315,0.311,0.004
"Frelick, Sal",686217,2026,334,262,0.238,0.242,-0.004,0.333,0.322,0.011,0.286,0.283,0.003
"Gelof, Zack",680869,2026,333,220,0.252,0.224,0.028,0.442,0.389,0.053,0.333,0.3,0.033
"Cowser, Colton",681297,2026,333,194,0.221,0.223,-0.002,0.377,0.425,-0.048,0.308,0.324,-0.016
"Seager, Corey",608369,2026,331,207,0.221,0.245,-0.024,0.4,0.467,-0.067,0.317,0.349,-0.032
"Mead, Curtis",678554,2026,329,222,0.253,0.259,-0.006,0.498,0.457,0.041,0.37,0.358,0.012
"Cruz, Oneil",665833,2026,328,175,0.263,0.252,0.011,0.484,0.494,-0.01,0.361,0.358,0.003
"Cortes, Carlos",666126,2026,326,241,0.258,0.247,0.011,0.399,0.376,0.023,0.322,0.308,0.014
